2012-09-15 | 6
2013-01-09 | 1
2013-08-08 | 1
2014-05-06 | 3
2014-09-06 | 1
2015-03-18 | 1
2015-05-06 | 1
2015-08-01 | 1
2015-08-28 | 1
2015-08-29 | 5
2015-08-30 | 7
2015-09-06 | 8
2015-09-12 | 1
2015-10-16 | 1
2015-11-09 | 1
2016-07-03 | 1
2016-08-13 | 3
2016-09-05 | 6
2016-11-25 | 5
2017-01-07 | 1
2017-01-09 | 1
2017-02-03 | 1
2017-04-08 | 1
2017-04-11 | 1
2017-04-24 | 1
2017-04-29 | 17
2017-05-01 | 1
2017-05-05 | 1
2017-05-10 | 1
2017-05-13 | 1
2017-08-24 | 1
2017-08-29 | 14
2017-09-05 | 1
2017-09-06 | 1
2018-01-08 | 1
2018-02-06 | 1
2018-03-17 | 1
2018-03-30 | 1
2018-04-14 | 1
2018-05-02 | 1
2018-05-10 | 2
2018-05-18 | 1
2018-05-19 | 1
2018-06-15 | 1
2018-06-17 | 1
2018-07-01 | 1
2018-07-09 | 1
2018-07-11 | 1
2018-07-26 | 1
2018-08-14 | 1
2018-08-26 | 1
2018-08-28 | 1
2018-08-30 | 1
2018-09-08 | 2
2018-09-12 | 1
2018-09-20 | 1
2018-09-26 | 2
2018-09-29 | 1
2018-10-11 | 2
2018-10-20 | 2
2018-11-13 | 1
2018-11-14 | 1
2018-11-15 | 1
2018-11-26 | 1
2018-12-16 | 7
2019-01-18 | 2
2019-01-24 | 1
2019-02-11 | 1
2019-02-17 | 1
2019-02-21 | 1
2019-02-26 | 9
2019-02-27 | 4
2019-03-02 | 1
2019-03-04 | 1
2019-03-07 | 1
2019-03-12 | 16
2019-03-22 | 1
2019-03-24 | 1
2019-03-25 | 1
2019-03-30 | 1
2019-04-02 | 1
2019-04-05 | 3
2019-04-09 | 2
2019-04-10 | 1
2019-05-06 | 1
2019-05-08 | 17
2019-05-10 | 1
2019-05-21 | 1
2019-05-22 | 2
2019-05-26 | 3
2019-05-29 | 2
2019-05-30 | 2
2019-06-03 | 1
2019-06-12 | 1
2019-06-14 | 1
2019-06-17 | 1
2019-06-25 | 1
2019-07-08 | 17
2019-07-28 | 1
2019-07-31 | 1
2019-08-01 | 9
2019-08-03 | 4
2019-08-04 | 2
2019-08-05 | 2
2019-08-13 | 1
2019-08-14 | 1
2019-08-15 | 1
2019-08-19 | 1
2019-08-29 | 1
2019-09-03 | 19
2019-09-04 | 2
2019-09-06 | 6
2019-09-07 | 2
2019-09-12 | 1
2019-09-17 | 1
2019-09-18 | 2
2019-10-02 | 1
2019-10-03 | 2
2019-10-12 | 1
2019-10-17 | 1
2019-10-23 | 1
2019-10-25 | 1
2019-11-02 | 1
2019-11-04 | 1
2019-11-08 | 1
2019-11-19 | 1
2019-11-30 | 3
2019-12-01 | 1
2019-12-07 | 2
2019-12-10 | 1
2019-12-11 | 1
2019-12-12 | 1
2019-12-16 | 1
2019-12-17 | 1
2019-12-20 | 1
2019-12-22 | 1
2019-12-28 | 1
2019-12-29 | 1
2020-01-09 | 1
2020-01-14 | 8
2020-01-16 | 13
2020-01-19 | 1
2020-01-21 | 2
2020-01-23 | 1
2020-01-24 | 2
